SessionID,Wavfile,AdjUse,Notes,onset time,X6
2,Z-0001-09.wav,0,,1082,
2,Z-0002-08.wav,0,,903,
2,Z-0003-03.wav,1,,789,
2,Z-0004-08.wav,0,,1375,
2,Z-0005-06.wav,1,,1029,
2,Z-0006-08.wav,0,,1001,
2,Z-0007-08.wav,1,,966,
2,Z-0008-06.wav,0,,1151,
2,Z-0009-08.wav,1,,1313,
2,Z-0010-09.wav,1,,843,
2,Z-0011-08.wav,1,,732,
2,Z-0012-09.wav,0,,1142,
2,Z-0013-07.wav,1,,870,
2,Z-0014-09.wav,1,,985,
2,Z-0015-07.wav,1,,1170,
2,Z-0016-09.wav,0,,972,
2,Z-0017-07.wav,0,,1177,
2,Z-0018-07.wav,0,,873,
2,Z-0019-06.wav,0,,1455,
2,Z-0020-06.wav,1,,961,
2,Z-0021-07.wav,1,,1144,
2,Z-0022-08.wav,0,,942,
2,Z-0023-05.wav,1,,855,
2,Z-0024-08.wav,0,,1331,
2,Z-0025-04.wav,0,,1401,
2,Z-0026-06.wav,0,,926,
2,Z-0027-09.wav,1,,1222,
2,Z-0028-06.wav,1,,919,
2,Z-0029-05.wav,0,,1942,
2,Z-0030-08.wav,1,,1114,
2,Z-0031-07.wav,0,,1431,
2,Z-0032-07.wav,1,,1027,
2,Z-0033-07.wav,1,,938,
2,Z-0034-09.wav,0,,1031,
2,Z-0035-06.wav,1,,980,
2,Z-0036-07.wav,0,,999,
2,Z-0037-06.wav,0,,976,
2,Z-0038-06.wav,0,,987,
2,Z-0039-09.wav,1,,1051,
2,Z-0040-07.wav,1,,901,
2,Z-0041-07.wav,0,,1031,
2,Z-0042-08.wav,0,,1294,
2,Z-0043-09.wav,1,,923,
2,Z-0044-08.wav,1,,1109,
2,Z-0045-07.wav,1,,1136,
2,Z-0046-06.wav,0,,1085,
2,Z-0047-09.wav,0,,945,
2,Z-0048-06.wav,1,,1062,
3,Z-0001-09.wav,0,,948,
3,Z-0002-07.wav,0,,630,
3,Z-0003-03.wav,1,,658,
3,Z-0004-06.wav,1,,840,
3,Z-0005-05.wav,1,,710,
3,Z-0006-06.wav,1,,717,
3,Z-0007-07.wav,1,,1068,
3,Z-0008-06.wav,1,,1144,
3,Z-0009-07.wav,0,,733,
3,Z-0010-09.wav,1,,777,
3,Z-0011-06.wav,0,,687,
3,Z-0012-07.wav,0,,786,
3,Z-0013-06.wav,0,,855,
3,Z-0014-08.wav,0,,784,
3,Z-0015-05.wav,0,,726,
3,Z-0016-06.wav,0,,806,
3,Z-0017-09.wav,0,,940,
3,Z-0018-07.wav,1,,739,
3,Z-0019-09.wav,1,,1024,
3,Z-0020-07.wav,1,,944,
3,Z-0021-07.wav,0,,770,
3,Z-0022-07.wav,0,,864,
3,Z-0023-06.wav,1,,948,
3,Z-0024-07.wav,1,,745,
3,Z-0025-02.wav,1,,793,
3,Z-0026-09.wav,,audible speech during trial ends with 'who knows' then 'little e',,
3,Z-0027-09.wav,1,,806,
3,Z-0028-05.wav,1,,867,
3,Z-0029-08.wav,0,D green,1026,
3,Z-0030-07.wav,0,y orange,933,
3,Z-0031-07.wav,1,,1452,
3,Z-0032-06.wav,0,,1011,
3,Z-0033-06.wav,0,,740,
3,Z-0034-09.wav,1,,1008,
3,Z-0035-06.wav,0,,1016,
3,Z-0036-05.wav,0,correction from before,701,
3,Z-0037-08.wav,1,,1449,
3,Z-0038-08.wav,1,,1001,
3,Z-0039-08.wav,1,,736,
3,Z-0040-05.wav,0,,649,
3,Z-0041-08.wav,1,,691,
3,Z-0042-09.wav,1,,1088,
3,Z-0043-08.wav,1,,795,
3,Z-0044-08.wav,0,,642,
3,Z-0045-09.wav,0,,741,
3,Z-0046-07.wav,0,,962,
3,Z-0047-08.wav,0,,821,
3,Z-0048-06.wav,0,,682,
4,Z-0001-09.wav,1,,830,
4,Z-0002-04.wav,1,,807,
4,Z-0003-07.wav,0,,1524,
4,Z-0004-06.wav,0,,923,
4,Z-0005-06.wav,0,,1203,
4,Z-0006-09.wav,1,,872,
4,Z-0007-06.wav,0,,1429,
4,Z-0008-07.wav,1,,986,
4,Z-0009-09.wav,0,,1169,
4,Z-0010-07.wav,0,,1333,
4,Z-0011-09.wav,0,,1410,
4,Z-0012-07.wav,1,,775,
4,Z-0013-08.wav,0,,999,
4,Z-0014-06.wav,0,,768,
4,Z-0015-08.wav,1,,828,
4,Z-0016-06.wav,1,,1214,
4,Z-0017-06.wav,1,,950,
4,Z-0018-08.wav,0,,1405,
4,Z-0019-08.wav,1,,803,
4,Z-0020-09.wav,1,,811,
4,Z-0021-08.wav,1,,757,
4,Z-0022-08.wav,1,,857,
4,Z-0023-05.wav,0,,931,
4,Z-0024-09.wav,0,,695,
4,Z-0025-08.wav,1,,1508,
4,Z-0026-08.wav,1,,2082,
4,Z-0027-03.wav,0,,1339,
4,Z-0028-06.wav,0,,1117,
4,Z-0029-06.wav,0,,940,
4,Z-0030-08.wav,0,,1200,
4,Z-0031-06.wav,1,,995,
4,Z-0032-06.wav,0,,2010,
4,Z-0033-08.wav,1,,1223,
4,Z-0034-09.wav,1,,955,
4,Z-0035-06.wav,0,,1195,
4,Z-0036-08.wav,1,,1105,
4,Z-0037-06.wav,1,,828,
4,Z-0038-08.wav,1,,1280,
4,Z-0039-05.wav,1,,780,
4,Z-0040-08.wav,0,,748,
4,Z-0041-09.wav,0,,846,
4,Z-0042-08.wav,0,,1068,
4,Z-0043-09.wav,1,,977,
4,Z-0044-09.wav,0,,1288,
4,Z-0045-06.wav,1,,728,
4,Z-0046-07.wav,0,,861,
4,Z-0047-07.wav,0,,728,
4,Z-0048-05.wav,1,sounds like about to laugh at end of description 'large J',1207,
5,Z-0001-08.wav,1,,1338,
5,Z-0002-08.wav,1,,898,
5,Z-0003-06.wav,1,,980,
5,Z-0004-05.wav,0,,1379,
5,Z-0005-05.wav,1,,1213,
5,Z-0006-07.wav,0,,974,
5,Z-0007-08.wav,1,,1336,
5,Z-0008-09.wav,0,,1262,
5,Z-0009-08.wav,0,,1090,
5,Z-0010-08.wav,0,,1101,
5,Z-0011-05.wav,0,,978,
5,Z-0012-06.wav,0,,966,
5,Z-0013-09.wav,0,,1322,
5,Z-0014-06.wav,1,,1337,
5,Z-0015-06.wav,0,,1186,
5,Z-0016-06.wav,1,,1028,
5,Z-0017-06.wav,1,,987,
5,Z-0018-07.wav,1,,2074,
5,Z-0019-07.wav,0,,1274,
5,Z-0020-07.wav,1,,796,
5,Z-0021-08.wav,0,,1172,
5,Z-0022-06.wav,1,,850,
5,Z-0023-09.wav,1,,848,
5,Z-0024-09.wav,0,,937,
5,Z-0025-06.wav,0,,1279,
5,Z-0026-08.wav,1,,1079,
5,Z-0027-06.wav,0,,1016,
5,Z-0028-09.wav,1,,1141,
5,Z-0029-09.wav,1,,1413,
5,Z-0030-07.wav,0,,1033,
5,Z-0031-09.wav,0,,1288,
5,Z-0032-06.wav,1,DE onset of second utterance listed,2473,*
5,Z-0033-07.wav,1,,839,
5,Z-0034-09.wav,0,,1411,
5,Z-0035-07.wav,1,,1008,
5,Z-0036-09.wav,1,,892,
5,Z-0037-08.wav,1,,1046,
5,Z-0038-09.wav,0,,1268,
5,Z-0039-07.wav,0,,1757,
5,Z-0040-07.wav,0,,1134,
5,Z-0041-06.wav,1,,948,
5,Z-0042-08.wav,0,,1860,
5,Z-0043-06.wav,0,,1312,
5,Z-0044-08.wav,1,,1105,
5,Z-0045-06.wav,1,,932,
5,Z-0046-09.wav,1,,1082,
5,Z-0047-09.wav,1,,1365,
5,Z-0048-06.wav,0,,1560,
6,Z-0001-07.wav,0,,1307,
6,Z-0002-08.wav,1,,1102,
6,Z-0003-06.wav,1,,854,
6,Z-0004-05.wav,1,,1488,
6,Z-0005-06.wav,1,,1282,
6,Z-0006-06.wav,0,,1786,
6,Z-0007-08.wav,0,,1065,
6,Z-0008-06.wav,0,,1249,
6,Z-0009-06.wav,0,,1104,
6,Z-0010-06.wav,1,,1143,
6,Z-0011-09.wav,0,,980,
6,Z-0012-06.wav,0,,1153,
6,Z-0013-09.wav,0,,1404,
6,Z-0014-08.wav,1,,1434,
6,Z-0015-06.wav,0,,1020,
6,Z-0016-06.wav,1,,1534,
6,Z-0017-06.wav,1,,1078,
6,Z-0018-08.wav,0,,1180,
6,Z-0019-08.wav,1,,1529,
6,Z-0020-09.wav,0,,759,
6,Z-0021-07.wav,1,,1208,
6,Z-0022-06.wav,1,,1047,
6,Z-0023-09.wav,1,,992,
6,Z-0024-05.wav,0,,969,
6,Z-0025-09.wav,0,,1042,
6,Z-0026-04.wav,1,,1038,
6,Z-0027-07.wav,0,,861,
6,Z-0028-09.wav,0,,1377,
6,Z-0029-08.wav,1,,1145,
6,Z-0030-07.wav,1,,1024,
6,Z-0031-06.wav,1,,1231,
6,Z-0032-09.wav,0,,1017,
6,Z-0033-07.wav,0,,860,
6,Z-0034-07.wav,0,,1473,
6,Z-0035-08.wav,0,AS y - big y onset of correction,1479,
6,Z-0036-08.wav,1,,2101,
6,Z-0037-09.wav,1,,1669,
6,Z-0038-06.wav,1,,1339,
6,Z-0039-06.wav,0,,1383,
6,Z-0040-08.wav,0,,1259,
6,Z-0041-06.wav,0,,909,
6,Z-0042-06.wav,1,,1435,
6,Z-0043-06.wav,1,,1427,
6,Z-0044-09.wav,1,,1234,
6,Z-0045-05.wav,0,,1142,
6,Z-0046-08.wav,0,,1031,
6,Z-0047-06.wav,0,AS f -big f onset of correction listed,1797,
6,Z-0048-05.wav,0,,1085,
7,Z-0001-07.wav,0,,1538,
7,Z-0002-09.wav,0,,971,
7,Z-0003-08.wav,1,,1245,
7,Z-0004-03.wav,0,,873,
7,Z-0005-06.wav,1,,1324,
7,Z-0006-06.wav,0,,1184,
7,Z-0007-08.wav,1,,1344,
7,Z-0008-08.wav,0,,1162,
7,Z-0009-09.wav,0,,956,
7,Z-0010-06.wav,0,"""Y… not y, I"" onset of I listed",3068,
7,Z-0011-06.wav,1,,811,
7,Z-0012-05.wav,0,,782,
7,Z-0013-06.wav,0,,979,
7,Z-0014-07.wav,0,,979,
7,Z-0015-09.wav,1,,1002,
7,Z-0016-07.wav,1,,804,
7,Z-0017-06.wav,0,,768,
7,Z-0018-06.wav,1,,1117,
7,Z-0019-07.wav,0,,891,
7,Z-0020-08.wav,1,,850,
7,Z-0021-09.wav,1,,997,
7,Z-0022-08.wav,0,,940,
7,Z-0023-07.wav,1,,1037,
7,Z-0024-06.wav,1,,2054,
7,Z-0025-02.wav,1,,1078,
7,Z-0026-06.wav,0,,1243,
7,Z-0027-08.wav,1,,1021,
7,Z-0028-08.wav,1,,1201,
7,Z-0029-06.wav,1,,1131,
7,Z-0030-06.wav,1,,955,
7,Z-0031-08.wav,0,,1164,
7,Z-0032-09.wav,1,,1004,
7,Z-0033-05.wav,0,,994,
7,Z-0034-08.wav,1,,1530,
7,Z-0035-09.wav,0,,955,
7,Z-0036-09.wav,0,,967,
7,Z-0037-06.wav,0,,1152,
7,Z-0038-09.wav,0,,790,
7,Z-0039-06.wav,0,,883,
7,Z-0040-07.wav,1,,1133,
7,Z-0041-06.wav,1,,963,
7,Z-0042-09.wav,0,,1001,
7,Z-0043-06.wav,1,,1030,
7,Z-0044-07.wav,0,,874,
7,Z-0045-08.wav,1,,995,
7,Z-0046-08.wav,0,,1134,
7,Z-0047-07.wav,0,,1017,
7,Z-0048-08.wav,1,,1126,
10,Z-0001-06.wav,0,,1085,
