X1,SessionID,Series,Target_Competitor,Role,Soundfile,Modifier,Transcription,SpeechFluency,Adjective,RelevantMod,Onset,Comments,ShiftDir,Fluency,Misspec
1,1,2,bin_lid / bin_pedal,Test,T_02.wav,1,bin you don't use (something) foot for,FL,PO,PO,1014,onset of bin noted,Contrast_Singleton,High,TRUE
2,1,4,coffee_cup / coffee_saucer,Test,T_04.wav,1,em cup without saucer,FP,PO,PO,2295,,Contrast_Singleton,High,TRUE
3,1,5,mirror_wall / mirror_hand,Test,T_05.wav,1,decorative mirror,FL,PR,PR,1338,,Contrast_Singleton,High,TRUE
4,1,6,chair_wooden / chair_baby,Test,T_06.wav,1,wooden chair,FL,PR,PR,949,,Contrast_Singleton,High,TRUE
5,1,7,lighter_flame / lighter_noflame,Test,T_07.wav,1,lit lighter,FL,PR,PR,1333,,Contrast_Singleton,High,TRUE
6,1,8,egg_shell / egg_yolk,Test,T_08.wav,1,full egg,FL,PR,PR,1533,,Contrast_Singleton,High,TRUE
7,1,9,umbrella_open / umbrella_closed,Test,T_09.wav,1,open umbrella,FL,PR,PR,1413,,Contrast_Singleton,High,TRUE
8,1,10,candle_unused / candle_melted,Test,T_10.wav,1,unused candle,FL,PR,PR,1168,,Contrast_Singleton,High,TRUE
9,1,11,knife_kitchen / knife_swiss,Test,T_11.wav,1,kitchen knife,FL,PR,PR,869,,Contrast_Singleton,High,TRUE
10,1,12,car_family / car_sports,Test,T_12.wav,1,eh car that's not a sports car,FP,PO,PO,2199,,Contrast_Singleton,High,TRUE
11,1,14,gun_real / gun_toy,Test,T_14.wav,1,real gun,FL,PR,PR,2460,,Singleton_Contrast,Low,FALSE
12,1,15,saddle_horse / saddle_bike,Test,T_15.wav,0,saddle {which one?] the horse saddle,RE,AO,,,,Singleton_Contrast,Low,TRUE
13,1,16,pad_unlocked / pad_locked,Test,T_16.wav,1,sounds like starts to say 'open padlock' hard to tell????,FL,PR,PR,2128,check *** she more or less commits to the word open so think this is a 1,Singleton_Contrast,Low,FALSE
14,1,17,headphones_large / headphones_small,Test,T_17.wav,0,headpones {which ones?} eem the over-ears,RE,AO,,,,Singleton_Contrast,Low,TRUE
15,1,18,battery_AA / battery_car,Test,T_18.wav,0,battery {which one?] eem the duracel one,RE,AO,,,check,Singleton_Contrast,Low,TRUE
16,1,19,wine_glass / wine_red,Test,T_19.wav,1,ehh empty wineglass,FP,PR,PR,1823,,Singleton_Contrast,Low,FALSE
17,1,20,money_notes / money_coins,Test,T_20.wav,0,money…notes,RE,AS,,,long enough pause for correction - notes onset noted - check?,Singleton_Contrast,Low,TRUE
18,1,21,boot_foot / boot_car,Test,T_21.wav,0,boot…eh foot boot,RE,AS,,,,Singleton_Contrast,Low,TRUE
19,1,22,camera_corder / camera_cctv,Test,T_22.wav,1,eh video camera,FP,PR,PR,2616,,Singleton_Contrast,Low,FALSE
20,1,23,guitar_acoustic / guitar_electric,Test,T_23.wav,0,guitar {which one?} acoustic,RE,AO,,,,Singleton_Contrast,Low,TRUE
21,1,24,glove_wooly / glove_boxing,Test,T_24.wav,0,red glove {which one?} em the non boxing glove,RE,AO,,,onset of non noted,Singleton_Contrast,Low,TRUE
22,1,25,teapot_white / teapot_cosy,Test,T_25.wav,1,teapot without a cosy,FL,PO,PO,796,,Contrast_Singleton,Low,TRUE
23,1,27,saw_hand / saw_electric,Test,T_27.wav,1,emm (h) non electric saw,FP,PR,PR,2552,,Contrast_Singleton,Low,TRUE
24,1,28,fan_hand / fan_electric,Test,T_28.wav,1,handheld fan,FL,PR,PR,1640,,Contrast_Singleton,Low,TRUE
25,1,29,orange_skin / orange_slice,Test,T_29.wav,1,full orange,FL,PR,PR,1085,,Contrast_Singleton,Low,TRUE
26,1,30,spade_garden / spade_beach,Test,T_30.wav,1,gardening spade,FL,PR,PR,1116,,Contrast_Singleton,Low,TRUE
27,1,31,key_gold / key_car,Test,T_31.wav,1,house key,FL,PR,PR,1991,,Contrast_Singleton,Low,TRUE
28,1,32,door_handle / door_knob,Test,T_32.wav,1,full door handle,FL,PR,PR,1389,,Contrast_Singleton,Low,TRUE
29,1,33,bell_hand / bell_bike,Test,T_33.wav,1,handheld bell,FL,PR,PR,1347,check,Contrast_Singleton,Low,TRUE
30,1,34,cheese_block / cheese_blue,Test,T_34.wav,1,eden white cheese,FL,PR,PR,1550,,Contrast_Singleton,Low,TRUE
31,1,37,clock_wall / clock_digital,Test,T_37.wav,1,analogue clock,FL,PR,PR,2407,,Singleton_Contrast,High,FALSE
32,1,38,hat_sun / hat_cowboy,Test,T_38.wav,1,eem female hat,FP,PR,PR,2729,,Singleton_Contrast,High,FALSE
33,1,39,pen_ballpoint / pen_nolid,Test,T_39.wav,1,eh pen with the lid on,FP,PR,PR,2024,,Singleton_Contrast,High,FALSE
34,1,42,bat_animal / bat_baseball,Test,T_42.wav,0,bat {which one?} flying bat,RE,AO,,,very hard to get onset of f for flying check if you ahave time!,Singleton_Contrast,High,TRUE
35,1,43,horse_animal / horse_rocking,Test,T_43.wav,0,horse {which one?} living,RE,AO,,,,Singleton_Contrast,High,TRUE
36,1,44,tshirt_round / tshirt_vneck,Test,T_44.wav,0,yellow tshirt {which one?} emm the darker yellow,RE,AO,,,,Singleton_Contrast,High,TRUE
37,1,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,1,ehh unpeeled potatoes,FP,PR,PR,2321,,Singleton_Contrast,High,FALSE
38,2,2,bin_lid / bin_pedal,Test,T_02.wav,1,plastic bin,FL,PR,PR,1054,,Contrast_Singleton,High,TRUE
39,2,4,coffee_cup / coffee_saucer,Test,T_04.wav,1,cup of coffee without a saucer underneath it,FL,PO,PO,1381,onset of cup taken,Contrast_Singleton,High,TRUE
40,2,5,mirror_wall / mirror_hand,Test,T_05.wav,1,wall mirror,FL,PR,PR,942,,Contrast_Singleton,High,TRUE
41,2,6,chair_wooden / chair_baby,Test,T_06.wav,1,wooden chair,FL,PR,PR,1367,,Contrast_Singleton,High,TRUE
42,2,7,lighter_flame / lighter_noflame,Test,T_07.wav,1,eh lit lighter,FP,PR,PR,1279,,Contrast_Singleton,High,TRUE
43,2,8,egg_shell / egg_yolk,Test,T_08.wav,0,uuuuuuhhhh egg,FP,NO,NO,2759,,Contrast_Singleton,High,FALSE
44,2,9,umbrella_open / umbrella_closed,Test,T_09.wav,1,open umbrella,FL,PR,PR,945,,Contrast_Singleton,High,TRUE
45,2,10,candle_unused / candle_melted,Test,T_10.wav,1,unlit candle again,FL,PR,PR,1059,,Contrast_Singleton,High,TRUE
46,2,11,knife_kitchen / knife_swiss,Test,T_11.wav,1,kitchen knife,FL,PR,PR,833,,Contrast_Singleton,High,TRUE
47,2,14,gun_real / gun_toy,Test,T_14.wav,1,uhh real gun,FP,PR,PR,1666,,Singleton_Contrast,Low,FALSE
48,2,15,saddle_horse / saddle_bike,Test,T_15.wav,1,ssss uh biii  uhhh horse saddle,RE,PR,,,,Singleton_Contrast,Low,FALSE
49,2,16,pad_unlocked / pad_locked,Test,T_16.wav,0,"uhhh padlock, uh unlocked padlock",RE,AS,,,onset of unlocked noted,Singleton_Contrast,Low,TRUE
50,2,17,headphones_large / headphones_small,Test,T_17.wav,0,mmmm headphones {which ones?} like eh headphones as opposed to earphones,RE,AO,,,CHECK: onset of earphones taken?,Singleton_Contrast,Low,TRUE
51,2,18,battery_AA / battery_car,Test,T_18.wav,1,umm  battery the small..um like a AA battery probably,RE,AS,,,check - onset of AA noted,Singleton_Contrast,Low,FALSE
52,2,19,wine_glass / wine_red,Test,T_19.wav,1,uhh empty wine glass,FP,PR,PR,1805,,Singleton_Contrast,Low,FALSE
53,2,20,money_notes / money_coins,Test,T_20.wav,0,uuh money..cash money {which one's?} the uhh notes ..,RE,AO,,,onset of notes taken,Singleton_Contrast,Low,TRUE
54,2,21,boot_foot / boot_car,Test,T_21.wav,0,boot {which one?] uhhh oh boot like a shoe that you wear,RE,AO,,,onset of shoe taken **** should it be boot?,Singleton_Contrast,Low,TRUE
55,2,22,camera_corder / camera_cctv,Test,T_22.wav,0,camera {which one?} uhh like a non cctv camera,RE,AO,,,cctv onset taken,Singleton_Contrast,Low,TRUE
56,2,23,guitar_acoustic / guitar_electric,Test,T_23.wav,1,ahhhh acoutsic guitar,FP,PR,PR,2159,,Singleton_Contrast,Low,FALSE
57,2,24,glove_wooly / glove_boxing,Test,T_24.wav,0,ahh red glove {WO?} the non boxing glove,RE,AO,,,onset of boxing,Singleton_Contrast,Low,TRUE
58,2,25,teapot_white / teapot_cosy,Test,T_25.wav,0,teapot,FL,NO,NO,1483,,Contrast_Singleton,Low,FALSE
59,2,27,saw_hand / saw_electric,Test,T_27.wav,1,uh (mmm)manual saw..yep (cuts off),FP/LE,PR,PR,1861,,Contrast_Singleton,Low,TRUE
60,2,28,fan_hand / fan_electric,Test,T_28.wav,1,ma(aaaa)nual fan,LE,PR,PR,1570,,Contrast_Singleton,Low,TRUE
61,2,29,orange_skin / orange_slice,Test,T_29.wav,1,ahh whole orange,FP,PR,PR,1780,,Contrast_Singleton,Low,TRUE
62,2,30,spade_garden / spade_beach,Test,T_30.wav,0,uhh shovel,FP,NO,NO,2295,***,Contrast_Singleton,Low,FALSE
63,2,31,key_gold / key_car,Test,T_31.wav,1,uhhh door key,FP,PR,PR,2394,,Contrast_Singleton,Low,TRUE
