SessionID,Series,Role,Soundfile,Target_Competitor,Modifier,Transcription,Fluency,Adjective,Onset(ms),Comments,X12,X13,X14,X15,X16,X17,X18
1,1,Test,T_01.wav,spoon_reg / spoon_wooden,1,metal spoon,FL,PR,953,,,,,,,,
1,2,Test,T_02.wav,bin_lid / bin_pedal,1,bin you don't use (something) foot for,FL,PO,1014,onset of bin noted,,,,,,,
1,3,Test,T_03.wav,bike_mountain / bike_motor,1,pedal bike,FL,PR,1590,,,,,,,,
1,4,Test,T_04.wav,coffee_cup / coffee_saucer,1,em cup without saucer,FP,PO,2295,,,,,,,,
1,5,Test,T_05.wav,mirror_wall / mirror_hand,1,decorative mirror,FL,PR,1338,,,,,,,,
1,6,Test,T_06.wav,chair_wooden / chair_baby,1,wooden chair,FL,PR,949,,,,,,,,
1,7,Test,T_07.wav,lighter_flame / lighter_noflame,1,lit lighter,FL,PR,1333,,,,,,,,
1,8,Test,T_08.wav,egg_shell / egg_yolk,1,full egg,FL,PR,1533,,,,,,,,
1,9,Test,T_09.wav,umbrella_open / umbrella_closed,1,open umbrella,FL,PR,1413,,,,,,,,
1,10,Test,T_10.wav,candle_unused / candle_melted,1,unused candle,FL,PR,1168,,,,,,,,
1,11,Test,T_11.wav,knife_kitchen / knife_swiss,1,kitchen knife,FL,PR,869,,,,,,,,
1,12,Test,T_12.wav,car_family / car_sports,1,eh car that's not a sports car,FP,PO,2199,,,,,,,,
1,13,Test,T_13.wav,lamp_bedroom / lamp_lava,0,lamp {which one?} the white one,RE,AO,3245,onset of white taken -DIFFICULT,,,,,,,
1,14,Test,T_14.wav,gun_real / gun_toy,1,real gun,FL,PR,2460,,,,,,,,
1,15,Test,T_15.wav,saddle_horse / saddle_bike,0,saddle {which one?] the horse saddle,RE,AO,4190,,,,,,,,
1,16,Test,T_16.wav,pad_unlocked / pad_locked,1,sounds like starts to say 'open padlock' then changes to padlock,FL,PR,2128,check *** she more or less commits to the word open so think this is a 1,,,,,,,
1,17,Test,T_17.wav,headphones_large / headphones_small,0,headpones {which ones?} eem the over-ears,RE,AO,4626,,,,,,,,
1,18,Test,T_18.wav,battery_AA / battery_car,0,battery {which one?] eem the duracel one,RE,AO,7211,check,,,,,,,
1,19,Test,T_19.wav,wine_glass / wine_red,1,ehh empty wineglass,FP,PR,1823,,,,,,,,
1,20,Test,T_20.wav,money_notes / money_coins,0,money…notes,RE,AS,2220,long enough pause for correction - notes onset noted - check?,,,,,,,
1,21,Test,T_21.wav,boot_foot / boot_car,0,boot…eh foot boot,RE,AS,2990,,,,,,,,
1,22,Test,T_22.wav,camera_corder / camera_cctv,1,eh video camera,FP,PR,2616,,,,,,,,
1,23,Test,T_23.wav,guitar_acoustic / guitar_electric,0,guitar {which one?} acoustic,RE,AO,2947,,,,,,,,
1,24,Test,T_24.wav,glove_wooly / glove_boxing,0,red glove {which one?} em the non boxing glove,RE,AO,5675,onset of non noted,,,,,,,
1,25,Test,T_25.wav,teapot_white / teapot_cosy,1,teapot without a cosy,FL,PO,796,,,,,,,,
1,26,Test,T_26.wav,helmet_bike / helmet_builders,1,bike helmet,FL,PR,1326,,,,,,,,
1,27,Test,T_27.wav,saw_hand / saw_electric,1,emm (h) non electric saw,FP,PR,2552,,,,,,,,
1,28,Test,T_28.wav,fan_hand / fan_electric,1,handheld fan,FL,PR,1640,,,,,,,,
1,29,Test,T_29.wav,orange_skin / orange_slice,1,full orange,FL,PR,1085,,,,,,,,
1,30,Test,T_30.wav,spade_garden / spade_beach,1,gardening spade,FL,PR,1116,,,,,,,,
1,31,Test,T_31.wav,key_gold / key_car,1,house key,FL,PR,1991,,,,,,,,
1,32,Test,T_32.wav,door_handle / door_knob,1,full door handle,FL,PR,1389,,,,,,,,
1,33,Test,T_33.wav,bell_hand / bell_bike,1,handheld bell,FL,PR,1347,check,,,,,,,
1,34,Test,T_34.wav,cheese_block / cheese_blue,1,eden white cheese,FL,PR,1550,,,,,,,,
1,35,Test,T_35.wav,bee_honey / B_letter,1,bumblebee,FL,PR,1387,***bumble,,,,,,,
1,36,Test,T_36.wav,phone_office / phone_mobile,1,landline telephone,FL,PR,2083,,,,,,,,
1,37,Test,T_37.wav,clock_wall / clock_digital,1,analogue clock,FL,PR,2407,,,,,,,,
1,38,Test,T_38.wav,hat_sun / hat_cowboy,1,eem female hat,FP,PR,2729,,,,,,,,
1,39,Test,T_39.wav,pen_ballpoint / pen_nolid,1,eh pen with the lid on,FP,PR,2024,,,,,,,,
1,40,Test,T_40.wav,apple_red / apple_green,1,red apple,FL,PR,1345,,,,,,,,
1,41,Test,T_41.wav,pipe_smoke / pipe_kitchen,1,smoking pipe,FL,PR,1043,,,,,,,,
1,42,Test,T_42.wav,bat_animal / bat_baseball,0,bat {which one?} flying bat,RE,AO,2858,very hard to get onset of f for flying check if you ahave time!,,,,,,,
1,43,Test,T_43.wav,horse_animal / horse_rocking,0,horse {which one?} living,RE,AO,3393,,,,,,,,
1,44,Test,T_44.wav,tshirt_round / tshirt_vneck,0,yellow tshirt {which one?} emm the darker yellow,RE,AO,5527,,,,,,,,
1,45,Test,T_45.wav,glasses_reading / glasses_drinking,0,glasses {which ones?} the ones you wear on your face,RE,AO,4535,,,,,,,,
1,46,Test,T_46.wav,eye_pupil / I_letter,1,human eye,FL,PR,992,,,,,,,,
1,47,Test,T_47.wav,potatoes_skin / potatoes_peeled,1,ehh unpeeled potatoes,FP,PR,2321,,,,,,,,
1,48,Test,T_48.wav,mouse_computer / mouse_animal,1,computer mouse,FL,PR,2197,,,,,,,,
